time,AX,AY,AZ
2022-12-10 10:27:57.233824,4297,-4876,13163
2022-12-10 10:27:57.348720,2092,-4484,20863
2022-12-10 10:27:57.454484,2005,-2931,16665
2022-12-10 10:27:57.561026,2952,-1729,14536
2022-12-10 10:27:57.667685,3081,-2304,16381
2022-12-10 10:27:57.774349,2768,-2941,16422
2022-12-10 10:27:57.881151,2862,-2679,16020
2022-12-10 10:27:57.987793,2953,-2265,15468
2022-12-10 10:27:58.094454,2648,-2671,15511
2022-12-10 10:27:58.201158,2763,-3164,15307
2022-12-10 10:27:58.308144,2645,-2451,15436
2022-12-10 10:27:58.414798,2722,-3252,15354
2022-12-10 10:27:58.521666,2438,-2837,15111
2022-12-10 10:27:58.628324,3152,-3096,15335
2022-12-10 10:27:58.734982,2693,-2621,15449
2022-12-10 10:27:58.841880,2818,-2996,15532
2022-12-10 10:27:58.948550,2731,-2902,16083
2022-12-10 10:27:59.055205,2747,-2777,14921
2022-12-10 10:27:59.162039,2882,-2517,15768
2022-12-10 10:27:59.268684,3050,-3430,15729
2022-12-10 10:27:59.375313,2477,-3816,18093
2022-12-10 10:27:59.482646,2836,-2232,15690
2022-12-10 10:27:59.589280,2734,-2011,15576
2022-12-10 10:27:59.695926,2806,-3380,18365
2022-12-10 10:27:59.802774,685,-2492,18277
2022-12-10 10:27:59.909436,5008,-5946,10825
2022-12-10 10:28:00.016094,509,-2955,13319
2022-12-10 10:28:00.122936,3419,-5139,13570
2022-12-10 10:28:00.229586,3459,-973,12916
2022-12-10 10:28:00.336736,918,-4045,9876
2022-12-10 10:28:00.443574,45,1596,18878
2022-12-10 10:28:00.550436,1109,-3946,17684
2022-12-10 10:28:00.657099,-2224,-8277,15320
2022-12-10 10:28:00.763956,-4983,-6026,11995
2022-12-10 10:28:00.870811,-2493,-2336,15416
2022-12-10 10:28:00.977502,-949,-5221,16044
2022-12-10 10:28:01.082858,-2138,-5122,13803
2022-12-10 10:28:01.186414,-4340,-4451,15722
2022-12-10 10:28:01.291555,-20,-367,12880
2022-12-10 10:28:01.396185,71,-3925,14738
2022-12-10 10:28:01.500900,-3243,-4434,17661
2022-12-10 10:28:01.605537,-3715,-4213,18758
2022-12-10 10:28:01.710232,-1461,-4023,14292
2022-12-10 10:28:01.816251,-3145,-3102,16128
2022-12-10 10:28:01.923051,-1993,-4998,15217
2022-12-10 10:28:02.029730,-2097,-4238,15565
2022-12-10 10:28:02.136417,-1570,-3758,14600
2022-12-10 10:28:02.243234,-2634,-4898,16090
2022-12-10 10:28:02.356506,-2344,-4888,15658
2022-12-10 10:28:02.463309,-1738,-3921,15604
2022-12-10 10:28:02.570033,-2180,-4185,16085
2022-12-10 10:28:02.676704,-2226,-3310,15564
2022-12-10 10:28:02.783560,-1596,-4016,15151
2022-12-10 10:28:02.890439,-1960,-6460,16667
2022-12-10 10:28:02.997301,-1600,-2550,15688
2022-12-10 10:28:03.103991,-599,-5156,14330
2022-12-10 10:28:03.210841,-2427,-3473,17225
2022-12-10 10:28:03.317503,-1689,-2701,14999
2022-12-10 10:28:03.424162,-1832,-3668,14192
2022-12-10 10:28:03.530997,-2399,-2764,10578
2022-12-10 10:28:03.637697,-3969,-4292,3462
2022-12-10 10:28:03.744366,-401,-802,17
2022-12-10 10:28:03.851168,-198,-737,5
2022-12-10 10:28:03.957851,-100,-725,81
2022-12-10 10:28:04.064506,-43,-392,346
2022-12-10 10:28:04.171153,206,-511,658
2022-12-10 10:28:04.277822,7350,-1577,2860
2022-12-10 10:28:04.384501,-2644,-2523,22674
2022-12-10 10:28:04.491557,8902,-4387,32764
2022-12-10 10:28:04.598237,-4726,-14392,27170
2022-12-10 10:28:04.704883,3612,-1816,17531
2022-12-10 10:28:04.812245,-3307,-6154,21916
2022-12-10 10:28:04.918933,-1748,-3056,18605
2022-12-10 10:28:05.025594,3653,-2975,12806
2022-12-10 10:28:05.132394,-1404,-3159,15019
2022-12-10 10:28:05.239148,4157,-3345,12529
2022-12-10 10:28:05.345798,-1357,-2574,17388
2022-12-10 10:28:05.452663,-1881,-4292,17973
2022-12-10 10:28:05.559342,1682,-5542,17971
2022-12-10 10:28:05.666015,474,-4099,17829
2022-12-10 10:28:05.772866,2594,-3844,22296
2022-12-10 10:28:05.879540,-709,-7432,19840
2022-12-10 10:28:05.986203,1288,-1567,15391
2022-12-10 10:28:06.093029,-1177,-8225,23817
2022-12-10 10:28:06.199684,1174,-7185,15975
2022-12-10 10:28:06.306684,2900,-1599,13035
2022-12-10 10:28:06.413530,32435,-32764,-29071
2022-12-10 10:28:06.520375,-32764,30691,-3155
2022-12-10 10:28:06.627020,30354,-32764,17596
2022-12-10 10:28:06.733891,9733,11461,16698
2022-12-10 10:28:06.840756,-32764,-6254,-14520
2022-12-10 10:28:06.947460,-32764,-29829,32764
2022-12-10 10:28:07.054118,-18780,-4051,14560
2022-12-10 10:28:07.161068,-4500,-6287,19775
2022-12-10 10:28:07.267769,-1872,475,17386
2022-12-10 10:28:07.378430,277,-7630,14412
2022-12-10 10:28:07.485115,-167,-6477,13954
2022-12-10 10:28:07.591953,480,-6769,14515
2022-12-10 10:28:07.698614,275,-5237,15447
2022-12-10 10:28:07.805277,626,-6057,14533
2022-12-10 10:28:07.912132,260,-5479,15302
2022-12-10 10:28:08.018823,382,-5753,15043
2022-12-10 10:28:08.125493,370,-5616,15040
2022-12-10 10:28:08.232346,337,-5838,15010
2022-12-10 10:28:08.338995,375,-5613,15044
2022-12-10 10:28:08.445690,445,-5767,14960
2022-12-10 10:28:08.552510,395,-5615,15044
2022-12-10 10:28:08.659163,416,-5642,14998
2022-12-10 10:28:08.766094,363,-5504,15107
2022-12-10 10:28:08.872912,377,-5684,15043
2022-12-10 10:28:08.979598,-21,-6325,14623
2022-12-10 10:28:09.086273,560,-5568,14912
2022-12-10 10:28:09.193116,342,-5454,15135
2022-12-10 10:28:09.299777,434,-5633,15034
2022-12-10 10:28:09.406436,309,-5516,15140
2022-12-10 10:28:09.513273,373,-5415,15115
2022-12-10 10:28:09.619929,400,-5587,15058
2022-12-10 10:28:09.726594,377,-5477,15106
2022-12-10 10:28:09.833417,382,-5541,15093
2022-12-10 10:28:09.940071,405,-5484,15110
2022-12-10 10:28:10.046728,390,-5500,15103
2022-12-10 10:28:10.153576,395,-5432,15098
2022-12-10 10:28:10.260441,401,-5514,15109
2022-12-10 10:28:10.367095,380,-5479,15117
2022-12-10 10:28:10.473899,391,-5428,15066
2022-12-10 10:28:10.580749,387,-5494,15091
2022-12-10 10:28:10.687485,401,-5477,15104
2022-12-10 10:28:10.794144,384,-5488,15089
2022-12-10 10:28:10.901011,372,-5444,15106
2022-12-10 10:28:11.007674,379,-5463,15158
2022-12-10 10:28:11.114368,385,-5414,15098
2022-12-10 10:28:11.221163,375,-5437,15117
2022-12-10 10:28:11.327916,393,-5470,15076
2022-12-10 10:28:11.434575,393,-5426,15099
2022-12-10 10:28:11.541225,397,-5408,15125
2022-12-10 10:28:11.647880,388,-5384,15116
2022-12-10 10:28:11.754553,367,-5428,15128
2022-12-10 10:28:11.861392,373,-5392,15141
2022-12-10 10:28:11.968053,401,-5428,15114
2022-12-10 10:28:12.074700,393,-5420,15125
2022-12-10 10:28:12.181580,398,-5383,15128
2022-12-10 10:28:12.288229,380,-5384,15109
2022-12-10 10:28:12.398851,370,-5350,15133
2022-12-10 10:28:12.505499,370,-5346,15143
2022-12-10 10:28:12.612400,368,-5357,15127
2022-12-10 10:28:12.719071,370,-5352,15161
2022-12-10 10:28:12.825732,408,-5376,15136
2022-12-10 10:28:12.932548,400,-5383,15112
2022-12-10 10:28:13.039197,378,-5376,15152
2022-12-10 10:28:13.145869,371,-5380,15127
2022-12-10 10:28:13.252636,379,-5356,15130
2022-12-10 10:28:13.359289,383,-5355,15145
2022-12-10 10:28:13.465947,401,-5348,15132
2022-12-10 10:28:13.572768,384,-5345,15168
2022-12-10 10:28:13.679413,446,-5462,15061
2022-12-10 10:28:13.786073,429,-5367,15027
2022-12-10 10:28:13.893027,322,-5358,15439
2022-12-10 10:28:13.999676,251,-5120,15299
2022-12-10 10:28:14.106393,-983,-10878,14225
2022-12-10 10:28:14.213197,-677,-3436,16075
2022-12-10 10:28:14.319853,685,-4128,13633
2022-12-10 10:28:14.426548,1093,-5438,15828
2022-12-10 10:28:14.533387,947,-6342,14525
2022-12-10 10:28:14.640052,-2,-7551,15901
2022-12-10 10:28:14.746706,-1609,-7501,18133
2022-12-10 10:28:14.853558,-251,-1356,16369
2022-12-10 10:28:14.960410,1327,-509,11116
2022-12-10 10:28:15.067045,-3659,-3991,17583
2022-12-10 10:28:15.173907,-3601,-5284,16252
2022-12-10 10:28:15.280764,-2215,-3665,16381
2022-12-10 10:28:15.387493,-1456,-4803,15672
2022-12-10 10:28:15.494154,-2932,-604,20123
2022-12-10 10:28:15.600998,-3365,-5370,15748
2022-12-10 10:28:15.707671,-148,-4316,14183
2022-12-10 10:28:15.814326,-3289,-2495,18928
2022-12-10 10:28:15.921135,-1468,-3575,15295
2022-12-10 10:28:16.027809,-1027,-3237,12078
2022-12-10 10:28:16.134473,139,-5356,12804
2022-12-10 10:28:16.241334,-776,-3900,17286
2022-12-10 10:28:16.348010,-494,-6377,17491
2022-12-10 10:28:16.454671,-2056,-3743,16714
2022-12-10 10:28:16.561512,77,-4408,16450
2022-12-10 10:28:16.668714,-518,-3522,16288
2022-12-10 10:28:16.775337,-450,-4597,15361
2022-12-10 10:28:16.882934,287,-3235,15691
2022-12-10 10:28:16.988160,-248,-4309,15131
2022-12-10 10:28:17.093375,-185,-4464,16036
2022-12-10 10:28:17.201067,-1832,-3077,18556
2022-12-10 10:28:17.311017,-683,-1364,19197
2022-12-10 10:28:17.420001,1120,-7753,17775
2022-12-10 10:28:17.525025,-1458,762,14868
2022-12-10 10:28:17.629679,677,-5329,13554
2022-12-10 10:28:17.734318,-1153,-421,16487
2022-12-10 10:28:17.838931,4999,-8788,11665
2022-12-10 10:28:17.943557,-6404,1706,19653
2022-12-10 10:28:18.048173,-4041,-14514,17044
2022-12-10 10:28:18.154196,5825,-16876,14589
2022-12-10 10:28:18.260954,-494,-8092,15912
2022-12-10 10:28:18.367618,-3062,-1049,18717
2022-12-10 10:28:18.474274,-1821,-4895,21273
2022-12-10 10:28:18.581092,420,-5433,11230
2022-12-10 10:28:18.687763,-351,-573,12561
2022-12-10 10:28:18.794417,-238,-2354,14092
2022-12-10 10:28:18.901205,883,-5743,14787
2022-12-10 10:28:19.007874,-949,-4086,18018
2022-12-10 10:28:19.114545,269,-3752,15796
2022-12-10 10:28:19.221184,509,-5908,13547
2022-12-10 10:28:19.327855,798,-5653,16061
2022-12-10 10:28:19.434516,-1270,-2709,16313
2022-12-10 10:28:19.541147,118,-3925,14861
2022-12-10 10:28:19.647815,-116,-3467,14085
2022-12-10 10:28:19.754456,-591,-3644,15314
2022-12-10 10:28:19.861233,-930,-1346,14601
2022-12-10 10:28:19.967893,-1063,-6034,16149
2022-12-10 10:28:20.074564,-1469,-7676,17227
2022-12-10 10:28:20.181235,-228,-2244,17194
2022-12-10 10:28:20.287891,97,-3457,15819
